STORMNET_ID,VDOT Length,Easement Length,Total Conveyance Length,County Area,County Area Impervious
STMN0072400970,60.76,11.71,69.71,0,0
STMN0072401009,14.57,58.13,58.13,0,0
STMN0072401012,0,9.66,110.74,0,0
STMN0072401032,77.22,27.17,423.65,0,0
STMN0073000180,612.04,237.35,963.71,0,0
STMN0073000250,48.87,92.38,140.95,0,0
STMN0073000315,332.79,216.87,525.26,0,0
STMN0073000317,19.99,94.14,115.38,0,0
STMN0073000325,260.36,343.15,608.88,0,0
STMN0073000409,120.24,152.19,791.14,0,0
STMN0073000442,697.3,2063.03,3027.62,74564.75,1872.29
STMN0073000448,61.12,310.83,405.19,0,0
STMN0073057013,0,713.22,779.56,0,0
STMN0073057029,0,154.14,238.46,0,0
STMN0073066539,796.96,414.94,1478.14,0,0
STMN0073075881,157.84,859.05,1159.24,0,0
STMN0073086880,47.66,27.09,80.22,0,0
STMN0073086881,50.82,69.78,127.37,0,0
STMN0074000538,51.25,102.8,394.69,0,0
STMN0081400774,49.42,1.09,56.72,0,0
STMN0081400788,49.75,37.95,83.08,0,0
STMN0081400795,47.07,4.67,53.49,0,0
STMN0081400800,48.17,135.21,207.06,0,0
STMN0081400807,610.29,1294.62,2238.46,0,0
STMN0081400824,55.71,0,427.54,0,0
STMN0082054836,2.36,652.26,1266.93,0,0
STMN0082400751,53.16,515.18,571.82,22438.66,0
STMN0082400757,52.69,857.92,1114.01,0,0
STMN0082400760,42.43,25.91,262.75,0,0
STMN0082400764,0,0,444.15,76774.04,9898.67
STMN0082503356,0,119.13,119.13,0,0
STMN0083078530,0,0,1418.56,0,0
STMN0083401439,2242.16,487.62,2710.25,0,0
STMN0083401530,57.73,133.4,189.66,0,0
STMN0083401541,567.99,3418.37,4262.2,0,0
STMN0084401371,421.24,208.36,845.26,0,0
STMN0084401406,188.56,0,192.78,0,0
STMN0084401407,114.72,0,190.8,0,0
STMN0084401418,37.19,69.1,207.39,0,0
STMN0102402395,434.16,408.78,990.59,6570.32,232.5
STMN0102402407,3257.24,2715.86,6108.6,2658.2,594.32
STMN0102402414,1480.18,1730.81,3361.93,21701.97,81.44
STMN0102402663,493.29,242.52,815.63,1697.3,203.32
STMN0102402675,1202.34,1.75,1689.05,36802.22,11719.08
STMN0102402744,3438.57,2752.87,8872.33,4516.72,43.29
STMN0102402764,723.04,585.48,1411.37,1081.39,0
STMN0102402779,6.53,133.67,142.93,939.19,0
STMN0102402782,5.51,152,162.94,2186.87,0
STMN0102402941,3374.07,2425.58,6343.74,62668.57,4111.91
STMN0102402955,753.13,257.87,1299.99,10809.82,0
STMN0102402961,505.27,406.5,1361.39,0,0
STMN0102403015,301.92,1071.34,1637.61,1920.51,0
STMN0102503553,135.63,272.61,400.07,11591.35,0
STMN0104403710,379.77,488.89,1872.5,1059.68,0
STMN0104403733,11652.98,10637.42,24147.59,0.02,0
STMN0104403834,42.08,63.12,156.47,1670.43,0
STMN0104403861,222.42,761.31,1979.76,0,0
STMN0111055750,101.4,78.54,179.61,0,0
STMN0111055762,152.97,311.91,464.1,0,0
STMN0111062524,770.62,1014.67,2198.75,0,0
STMN0111063558,0,114.39,149.06,0,0
STMN0111067612,0,0.26,599.54,17288.92,0
