OBJECTID_1,STORMNET_I,Owner,Count_PerDA,Type_AS,Type_BR,Type_DP,Type_FB,Type_FM,Type_GR,Type_MB,Type_OS,Type_Other,Type_PL,Type_PP,Type_RF,Type_RT,Type_SF,Type_TF,Type_TR,Type_UG,Type_VF,Type_VS,Type_WL,Type_WS,Type_WP,Sum_DRAINAGE_AREA,Sum_TREATED_AREA,Shape_Length,Shape_Area,Pct_Treated,Area_AC
1931,STMN0264019932,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2251.193859,298306.3505,0,6.848198891
1932,STMN0264019940,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1303.639859,34330.80602,0,0.788130012
1933,STMN0264019951,FFX,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2438.22635,217600.2147,0,4.995433543
1934,STMN0264020294,VDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3615.96181,564841.333,0,12.96702462
1935,STMN0264086860,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2367.83195,201639.4704,0,4.629023804
1936,STMN0264086861,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122.899715,26793.42402,0,0.615094839
1937,STMN0264086862,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2978.044389,274562.6738,0,6.303116897
1938,STMN0264086863,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3755.912193,325737.258,0,7.477928396
1939,STMN0264508157,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1860.77726,59713.27916,0,1.370833747
1940,STMN0264508158,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633.6712552,12335.92269,0,0.28319495
1941,STMN0264508527,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2677.992505,277282.5532,0,6.365556987
1942,STMN0264508530,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396.470098,74292.62891,0,1.705530902
1943,STMN0264508531,FFX,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.183,3080.574068,368864.6668,2.161076631,8.46800143
1944,STMN0264508533,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3850.3019,469348.7563,0,10.77480794
1945,STMN0264508564,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3232.880728,124770.8005,0,2.864354903
1946,STMN0264509780,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3979.163947,418180.9485,0,9.600152002
1947,STMN0264509782,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2910.49288,210135.9751,0,4.824077495
1948,STMN0264509784,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1659.938654,132963.6618,0,3.052437871
1949,STMN0264509786,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713.9556803,21914.87705,0,0.503098363
1950,STMN0264509790,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2323.287056,239014.2255,0,5.487033553
1951,STMN0264509794,VDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805.6874488,21162.13187,0,0.485817643
1952,STMN0271010456,FFX,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.16,0.76,4696.8137,713836.671,4.637680988,16.3875006
1953,STMN0271010726,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024.939145,195010.4864,0,4.476842665
1954,STMN0271011020,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1775.089236,101302.2879,0,2.325589833
1955,STMN0271011064,VDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2540.486233,159852.78,0,3.669729554
1956,STMN0271011137,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2037.433557,109363.1932,0,2.510643494
1957,STMN0271011205,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903.0548297,45565.4142,0,1.046042159
1958,STMN0271011229,VDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3094.593283,450195.2441,0,10.33510204
1959,STMN0271011297,FFX,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.85,0.85,2682.471365,365642.5031,10.12624396,8.394030433
1960,STMN0271011330,FFX,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1.09,1.09,4453.764169,445105.835,10.66717314,10.21826482
1961,STMN0271011409,FFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6736.334916,1310014.129,0,30.07390654
