STORMNET_ID,Owner,total_acres,vdot_bmp_count,swe_perc,row_perc,total_convey_length_ft,swe_convey_length_ft,row_convey_length_ft,total_county_acres,imperv_county_acres
STMN0054400551,FFX,15.24,0,9.79,16.33,2696.50,1602.34,1082.78,0.00,0.00
STMN0054400592,FFX,17.44,0,1.25,20.58,1881.92,403.38,894.89,0.00,0.00
STMN0054401960,FFX,66.37,0,8.08,15.23,10531.30,4725.32,5365.28,0.00,0.00
STMN0061401254,FFX,1.51,0,2.51,32.60,152.44,103.67,49.25,0.00,0.00
STMN0061401257,FFX,3.31,0,1.45,14.99,189.18,127.25,50.96,0.00,0.00
STMN0061401272,FFX,3.19,0,8.10,22.63,608.90,522.36,63.03,0.00,0.00
STMN0061401275,FFX,2.72,0,5.17,22.50,272.72,248.53,44.48,0.00,0.00
STMN0061401293,FFX,2.97,0,2.11,23.56,237.04,128.23,49.18,0.00,0.00
STMN0061401304,FFX,10.93,0,2.62,18.59,1024.83,736.89,164.71,0.00,0.00
STMN0061401306,FFX,4.16,0,4.75,16.03,150.75,31.69,111.09,0.00,0.00
STMN0061401320,FFX,7.39,0,5.32,15.88,810.31,668.58,166.53,0.00,0.00
STMN0061401326,FFX,4.38,0,2.12,8.11,357.17,280.25,108.75,0.00,0.00
STMN0061401328,FFX,2.44,0,1.76,14.80,236.26,127.75,48.42,0.00,0.00
STMN0061401339,FFX,13.29,0,4.30,6.19,1159.02,1044.16,55.52,0.00,0.00
STMN0061401357,FFX,5.41,0,0.84,19.06,240.29,172.16,42.34,0.00,0.00
STMN0061503399,FFX,2.26,0,4.15,11.87,333.58,230.45,136.06,0.00,0.00
STMN0062055123,FFX,12.23,0,2.34,8.04,466.94,427.54,37.86,0.00,0.00
STMN0062401116,FFX,4.80,0,2.08,17.03,470.82,265.14,142.68,0.00,0.00
STMN0062401121,FFX,1.92,0,5.61,38.00,97.24,91.10,24.86,0.00,0.00
STMN0062401149,FFX,9.51,0,2.59,11.64,570.26,325.65,156.31,0.00,0.00
STMN0062401158,VDOT,2.93,0,0.19,23.58,214.21,3.45,202.66,0.00,0.00
STMN0062401229,FFX,5.87,0,1.56,21.00,356.09,233.57,99.40,0.00,0.00
STMN0063400479,FFX,8.72,0,2.73,40.60,1115.49,55.44,1036.83,0.00,0.00
STMN0063400485,FFX,2.65,0,2.79,56.50,1012.03,42.03,892.32,0.00,0.00
STMN0063400486,VDOT,11.42,0,1.45,5.10,287.67,36.67,141.75,0.00,0.00
STMN0063401590,FFX,4.26,0,1.50,11.70,241.54,106.43,46.32,0.00,0.00
STMN0063401679,FFX,5.35,0,3.96,21.83,634.25,166.75,441.22,0.00,0.00
STMN0063401691,FFX,15.22,1,2.40,29.27,698.78,466.71,227.82,0.00,0.00
STMN0063401747,FFX,7.77,0,4.44,7.51,1031.51,878.30,52.19,0.00,0.00
STMN0063401748,FFX,16.39,1,12.67,29.80,1108.66,654.19,379.84,0.00,0.00
STMN0063401757,FFX,4.91,0,2.51,15.06,526.99,416.98,81.88,0.00,0.00
